"Código","Departamento","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
231,"Piura",93,25,35,21
464,"Loreto",94,25,53,23
466,"Loreto",91,19,53,21
480,"Loreto",83,26,54,28
500,"Loreto",116,32,57,25
504,"Loreto",92,24,55,22
532,"Loreto",73,18,54,16
957,"Piura",90,29,67,34
978,"Loreto",78,19,51,20
1039,"Piura",85,28,72,31
1158,"Piura",53,11,45,17
1180,"Loreto",76,24,50,16
1385,"Piura",62,17,52,17
1415,"Loreto",66,29,53,27
1457,"Cusco",62,23,52,15
2110,"Piura",71,21,41,25
2347,"Piura",50,26,68,19
2511,"Piura",83,22,46,20
2705,"Lima Metropolitana",102,22,63,23
2835,"Lima Metropolitana",121,29,64,36
2836,"Lima Metropolitana",133,31,73,36
2839,"Lima Metropolitana",134,32,65,26
2840,"Lima Metropolitana",132,24,50,19
2841,"Lima Metropolitana",100,27,57,20
2842,"Lima Metropolitana",117,30,61,24
2843,"Lima Metropolitana",99,30,61,23
2844,"Lima Metropolitana",112,29,64,24
2846,"Lima Metropolitana",131,24,60,23
2848,"Lima Metropolitana",125,33,51,25
2849,"Lima Metropolitana",143,35,75,28
2880,"Lima Metropolitana",127,35,56,24
2881,"Lima Metropolitana",109,22,62,25
2882,"Lima Metropolitana",124,20,47,20
2883,"Lima Metropolitana",107,24,55,19
2884,"Lima Metropolitana",125,35,62,23
2885,"Lima Metropolitana",119,33,62,23
2889,"Lima Metropolitana",105,29,58,24
2890,"Lima Metropolitana",92,28,58,22
2891,"Lima Metropolitana",138,34,59,30
2892,"Lima Metropolitana",132,27,70,29
2893,"Lima Metropolitana",107,28,74,29
2894,"Lima Metropolitana",103,27,72,30
2895,"Lima Metropolitana",146,34,74,31
2896,"Lima Metropolitana",108,20,62,28
2897,"Lima Metropolitana",124,32,64,32
2900,"Lima Metropolitana",114,30,66,28
2901,"Lima Metropolitana",82,28,53,29
2902,"Lima Metropolitana",133,34,76,32
2903,"Lima Metropolitana",135,31,68,31
2904,"Lima Metropolitana",99,18,62,27
2905,"Lima Metropolitana",144,33,73,31
2906,"Lima Metropolitana",119,31,65,30
2907,"Lima Metropolitana",119,30,66,31
2908,"Lima Metropolitana",129,31,75,31
2910,"Lima Metropolitana",121,32,73,24
2911,"Lima Metropolitana",152,33,76,28
2912,"Lima Metropolitana",90,31,72,21
2913,"Lima Metropolitana",128,27,76,25
2914,"Lima Metropolitana",134,34,43,23
2915,"Lima Metropolitana",100,29,70,25
2916,"Lima Metropolitana",149,32,71,27
2918,"Lima Metropolitana",130,31,64,28
2919,"Lima Metropolitana",117,29,58,18
2920,"Lima Metropolitana",143,32,63,28
2921,"Lima Metropolitana",132,28,46,27
2922,"Lima Metropolitana",110,21,51,22
2923,"Lima Metropolitana",133,28,46,20
2924,"Lima Metropolitana",141,32,54,20
2925,"Lima Metropolitana",144,31,67,27
2926,"Lima Metropolitana",108,28,57,17
2927,"Lima Metropolitana",147,30,51,24
2928,"Lima Metropolitana",121,31,65,29
2935,"Lima Metropolitana",128,30,74,36
2940,"Lima Metropolitana",155,33,77,30
2943,"Lima Metropolitana",136,28,57,22
2946,"Lima Metropolitana",137,33,57,21
2948,"Lima Metropolitana",79,26,44,17
2950,"Lima Metropolitana",135,29,48,20
2952,"Lima Metropolitana",118,30,40,18
2955,"Lima Metropolitana",115,26,40,15
2957,"Lima Metropolitana",93,23,46,17
2958,"Lima Metropolitana",128,23,46,19
2960,"Lima Metropolitana",129,26,68,29
2961,"Lima Metropolitana",104,30,55,17
2963,"Lima Metropolitana",58,17,50,20
2964,"Lima Metropolitana",126,30,59,28
2965,"Lima Metropolitana",85,28,49,24
2966,"Lima Metropolitana",110,15,46,23
2967,"Lima Metropolitana",134,32,53,19
2969,"Lima Metropolitana",130,32,66,26
2972,"Lima Metropolitana",143,33,57,24
2973,"Lima Metropolitana",145,31,66,30
2974,"Lima Metropolitana",142,33,68,29
2975,"Lima Metropolitana",99,27,57,23
2976,"Lima Metropolitana",145,32,75,31
2977,"Lima Metropolitana",121,31,62,26
