"Codigo","Fechin","CSUM","MSUM","DSUM"
231,"2024-06-17",93,25,21
464,"2024-05-20",94,25,23
466,"2024-05-20",91,19,21
480,"2024-05-20",83,26,28
500,"2024-05-20",116,32,25
504,"2024-05-20",92,24,22
532,"2024-05-20",73,18,16
957,"2024-06-17",90,29,34
978,"2024-05-20",78,19,20
1039,"2024-06-17",85,28,31
1158,"2024-06-17",53,11,17
1180,"2024-05-20",76,24,16
1385,"2024-06-17",62,17,17
1415,"2024-05-20",66,29,27
1457,"2024-04-29",62,23,15
1458,"2024-05-20",57,20,22
2110,"2024-06-17",71,21,25
2347,"2024-06-17",50,26,19
2511,"2024-06-17",83,22,20
2705,"2024-08-12",102,22,23
2835,"2024-08-12",121,29,36
2836,"2024-08-12",133,31,36
2839,"2024-08-12",134,32,26
2840,"2024-08-12",132,24,19
2841,"2024-08-12",100,27,20
2842,"2024-08-12",117,30,24
2843,"2024-08-12",99,30,23
2844,"2024-08-12",112,29,24
2846,"2024-08-12",131,24,23
2848,"2024-08-12",125,33,25
2849,"2024-08-12",143,35,28
2880,"2024-08-12",127,35,24
2881,"2024-08-12",109,22,25
2882,"2024-08-12",124,20,20
2883,"2024-08-12",107,24,19
2884,"2024-08-12",125,35,23
2885,"2024-08-12",119,33,23
2889,"2024-08-12",105,29,24
2890,"2024-08-12",92,28,22
2891,"2024-08-12",138,34,30
2892,"2024-08-12",132,27,29
2893,"2024-08-12",107,28,29
2894,"2024-08-12",103,27,30
2895,"2024-08-12",146,34,31
2896,"2024-08-12",108,20,28
2897,"2024-08-12",124,32,32
2900,"2024-08-12",114,30,28
2901,"2024-08-12",82,28,29
2902,"2024-08-12",133,34,32
2903,"2024-08-12",135,31,31
2904,"2024-08-12",99,18,27
2905,"2024-08-12",144,33,31
2906,"2024-08-12",119,31,30
2907,"2024-08-12",119,30,31
2908,"2024-08-12",129,31,31
2910,"2024-08-12",121,32,24
2911,"2024-08-12",152,33,28
2912,"2024-08-12",90,31,21
2913,"2024-08-12",128,27,25
2914,"2024-08-12",134,34,23
2915,"2024-08-12",100,29,25
2916,"2024-08-12",149,32,27
2918,"2024-08-12",130,31,28
2919,"2024-08-12",117,29,18
2920,"2024-08-12",143,32,28
2921,"2024-08-12",132,28,27
2922,"2024-08-12",110,21,22
2923,"2024-08-12",133,28,20
2924,"2024-08-12",141,32,20
2925,"2024-08-12",144,31,27
2926,"2024-08-12",108,28,17
2927,"2024-08-12",147,30,24
2928,"2024-08-12",121,31,29
2935,"2024-08-12",128,30,36
2940,"2024-08-12",155,33,30
2943,"2024-08-12",136,28,22
2946,"2024-08-12",137,33,21
2948,"2024-08-12",79,26,17
2950,"2024-08-12",135,29,20
2952,"2024-08-12",118,30,18
2955,"2024-08-12",115,26,15
2957,"2024-08-12",93,23,17
2958,"2024-08-12",128,23,19
2960,"2024-08-12",129,26,29
2961,"2024-08-12",104,30,17
2963,"2024-08-12",58,17,20
2964,"2024-08-12",126,30,28
2965,"2024-08-12",85,28,24
2966,"2024-08-12",110,15,23
2967,"2024-08-12",134,32,19
2969,"2024-08-12",130,32,26
2972,"2024-08-12",143,33,24
2973,"2024-08-12",145,31,30
2974,"2024-08-12",142,33,29
2975,"2024-08-12",99,27,23
2976,"2024-08-12",145,32,31
2977,"2024-08-12",121,31,26
2978,"2024-08-12",125,27,20
2979,"2024-08-12",154,35,30
2980,"2024-08-12",88,32,23
2981,"2024-08-12",115,30,25
2982,"2024-08-12",144,32,21
2983,"2024-08-12",116,32,25
2984,"2024-08-12",112,29,19
2985,"2024-08-12",109,28,20
2986,"2024-08-12",125,30,23
2987,"2024-08-12",93,34,30
2988,"2024-08-12",85,19,18
2989,"2024-08-12",85,20,17
2990,"2024-08-12",155,36,31
