Código,Departamento,Escala_Cog.,Escala_Mot.,Escala_Dis.
123,Cusco,65,22,22
476,Loreto,51,17,16
625,Piura,50,13,15
809,Loreto,74,29,25
1171,Loreto,43,24,18
1722,Piura,94,29,24
1818,Loreto,57,26,26
1826,Loreto,73,28,31
1889,Piura,91,36,24
1916,Cusco,67,30,29
2046,Piura,93,37,24
2499,Piura,56,21,21
2638,Lima Metropolitana,90,32,26
2644,Lima Metropolitana,73,30,26
2647,Lima Metropolitana,110,36,35
2656,Lima Metropolitana,90,34,23
2659,Lima Metropolitana,106,29,34
2662,Lima Metropolitana,99,19,24
2665,Lima Metropolitana,111,32,35
2666,Lima Metropolitana,111,30,29
2667,Lima Metropolitana,99,30,33
2668,Lima Metropolitana,102,32,36
2678,Lima Metropolitana,104,29,33
2680,Lima Metropolitana,95,32,33
2681,Lima Metropolitana,88,25,33
2698,Lima Metropolitana,110,36,35
2710,Lima Metropolitana,119,35,36
2717,Lima Metropolitana,122,33,35
2726,Lima Metropolitana,129,36,36
2732,Lima Metropolitana,110,31,36
2737,Lima Metropolitana,117,33,36
2768,Lima Metropolitana,68,26,25
2776,Lima Metropolitana,102,19,32
2779,Lima Metropolitana,96,33,35
2781,Lima Metropolitana,101,31,30
2782,Lima Metropolitana,112,34,34
2931,Lima Metropolitana,118,31,36
2932,Lima Metropolitana,113,29,30
2936,Lima Metropolitana,101,24,32
2937,Lima Metropolitana,117,33,36
2939,Lima Metropolitana,127,38,36
2941,Lima Metropolitana,128,39,34
2944,Lima Metropolitana,111,29,36
2949,Lima Metropolitana,129,37,36
2953,Lima Metropolitana,120,33,36
3016,Lima Metropolitana,92,39,29
3019,Lima Metropolitana,83,37,32
3021,Lima Metropolitana,114,38,32
3023,Lima Metropolitana,74,31,25
3024,Lima Metropolitana,110,40,31
3032,Lima Metropolitana,69,23,20
3033,Lima Metropolitana,73,26,25
3034,Lima Metropolitana,92,34,30
3037,Lima Metropolitana,59,22,20
3040,Lima Metropolitana,72,33,17
3041,Lima Metropolitana,63,23,19
3042,Lima Metropolitana,128,43,29
3043,Lima Metropolitana,66,32,19
3047,Lima Metropolitana,124,35,34
3048,Lima Metropolitana,120,36,31
3051,Lima Metropolitana,121,36,35
3052,Lima Metropolitana,121,33,36
3055,Lima Metropolitana,116,37,34
3058,Lima Metropolitana,137,42,31
3092,Lima Metropolitana,78,31,24
3116,Lima Metropolitana,105,40,33
3197,Lima Metropolitana,122,35,35
3228,Lima Metropolitana,113,44,31
3242,Lima Metropolitana,65,26,23
3247,Lima Metropolitana,66,26,25
3260,Lima Metropolitana,82,24,26
3273,Lima Metropolitana,92,30,24
3312,Lima Metropolitana,75,21,25
3313,Lima Metropolitana,69,28,24
3315,Lima Metropolitana,85,22,25
3316,Lima Metropolitana,81,27,24
3317,Lima Metropolitana,123,39,34
3318,Lima Metropolitana,92,26,31
3319,Lima Metropolitana,91,21,31
3320,Lima Metropolitana,116,38,36
3346,Lima Metropolitana,111,22,36
3347,Lima Metropolitana,131,38,36
3348,Lima Metropolitana,129,29,36
3349,Lima Metropolitana,118,25,31
3354,Lima Metropolitana,87,30,24
3355,Lima Metropolitana,73,18,26
3356,Lima Metropolitana,74,23,25
3357,Lima Metropolitana,84,29,25
3360,Lima Metropolitana,72,26,25
3363,Lima Metropolitana,77,31,25
2621,Lima Metropolitana,114,39,34
2626,Lima Metropolitana,119,38,34
2631,Lima Metropolitana,91,37,34
2639,Lima Metropolitana,118,35,33
2646,Lima Metropolitana,123,38,35
2653,Lima Metropolitana,122,37,34
2679,Lima Metropolitana,119,36,35
2682,Lima Metropolitana,81,22,29
2683,Lima Metropolitana,120,37,35
2684,Lima Metropolitana,127,37,34
2716,Lima Metropolitana,116,36,30
2723,Lima Metropolitana,112,27,24
2731,Lima Metropolitana,115,35,33
2739,Lima Metropolitana,120,40,33
2743,Lima Metropolitana,102,33,25
2751,Lima Metropolitana,94,41,33
2758,Lima Metropolitana,126,42,36
2791,Lima Metropolitana,96,37,26
2792,Lima Metropolitana,131,44,36
2793,Lima Metropolitana,132,36,35
2040,Loreto,58,21,20
2041,Loreto,90,31,24
2155,Loreto,109,34,28
2156,Loreto,112,36,30
71,Piura,34,11,20
72,Piura,37,16,22
858,Cusco,87,35,31
862,Cusco,71,30,27
2488,Piura,79,32,27
2489,Piura,55,25,21
311,Cusco,81,33,29
305,Cusco,62,27,28
304,Cusco,64,29,27
670,Loreto,84,29,31
671,Loreto,69,26,30
1257,Cusco,77,36,25
3243,Lima Metropolitana,93,39,30
3244,Lima Metropolitana,109,41,31
310,Cusco,79,34,28
865,Cusco,79,34,27
309,Cusco,57,25,25
866,Cusco,57,26,25
2066,Loreto,101,31,29
2068,Loreto,99,27,27
495,Piura,40,15,29
1568,Piura,57,18,18
1504,Cusco,66,29,18
1505,Cusco,69,25,18
3248,Lima Metropolitana,88,38,30
3257,Lima Metropolitana,78,31,29
307,Cusco,61,27,27
863,Cusco,59,27,27
303,Cusco,69,29,28
859,Cusco,69,29,28
196,Cusco,50,11,20
197,Cusco,100,36,32
2468,Piura,43,17,19
2469,Piura,43,17,23
308,Cusco,61,27,26
