"Código","Escala_Cog.","Escala_Mot.","Escala_Dis.","Edad_Mes","Región","Área","Modalidad","Departamento","Quintil","Inst_Mat.","Inst_Pat.","Inst_Pre_N3"
231,93,25,21,70,"Costa","Urbana","Jardín","Piura","5","Secundaria completo","Superior técnico completo","NS/NR"
957,90,29,34,67,"Costa","Urbana","Jardín","Piura","4","Secundaria incompleto","Superior técnico completo","No"
978,78,19,20,53,"Selva","Urbana","Jardín","Loreto","3","Primaria completo","Secundaria incompleto","No"
1039,85,28,31,69,"Costa","Urbana","Jardín","Piura","4","Secundaria incompleto","Secundaria incompleto","No"
1158,53,11,17,55,"Costa","Urbana","Jardín","Piura","4","Ninguno","Ninguno","No"
1180,76,24,16,68,"Selva","Rural","Jardín","Loreto","5","Primaria incompleto","Primaria completo","No"
1385,62,17,17,53,"Costa","Urbana","Jardín","Piura","4","Primaria incompleto","Primaria completo","No"
1415,66,29,27,59,"Selva","Urbana","Jardín","Loreto","4","Secundaria completo","Secundaria completo","No"
1457,62,23,15,64,"Selva","Urbana","Jardín","Cusco","3","Secundaria incompleto","Secundaria incompleto","No"
1458,57,20,22,73,"Selva","Urbana","Jardín","Loreto","4","Primaria completo","Secundaria completo","No"
2110,71,21,25,59,"Costa","Urbana","Cuna-Jardín","Piura","4","Superior universitario incompleto","Superior universitario incompleto","No"
2347,50,26,19,73,"Costa","Urbana","Jardín","Piura","3","Secundaria completo","Superior técnico completo","No"
2511,83,22,20,55,"Costa","Urbana","Jardín","Piura","1","Secundaria completo","Secundaria completo","No"
2705,102,22,23,64,"Costa","Urbana","Cuna-Jardín","Lima Met.","5","Posgrado (maestría, doctorado)","Posgrado (maestría, doctorado)","Sí"
2835,121,29,36,50,"Costa","Urbana","Cuna-Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2836,133,31,36,51,"Costa","Urbana","Cuna-Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2839,134,32,26,61,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2840,132,24,19,60,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2841,100,27,20,53,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2842,117,30,24,62,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2843,99,30,23,54,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2844,112,29,24,56,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2846,131,24,23,54,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2848,125,33,25,61,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2849,143,35,28,64,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2880,127,35,24,59,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2881,109,22,25,65,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2882,124,20,20,61,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2883,107,24,19,56,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2884,125,35,23,64,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2885,119,33,23,62,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2889,105,29,24,78,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","No"
2890,92,28,22,56,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2891,138,34,30,60,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2892,132,27,29,53,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2893,107,28,29,59,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2894,103,27,30,53,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2895,146,34,31,61,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2896,108,20,28,62,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2897,124,32,32,57,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2900,114,30,28,64,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2901,82,28,29,61,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2902,133,34,32,58,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2903,135,31,31,56,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2904,99,18,27,59,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2905,144,33,31,62,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2906,119,31,30,63,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2907,119,30,31,54,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2908,129,31,31,58,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2910,121,32,24,69,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2911,152,33,28,67,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2912,90,31,21,71,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2913,128,27,25,65,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2914,134,34,23,67,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2915,100,29,25,65,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2916,149,32,27,75,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2918,130,31,28,65,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2919,117,29,18,72,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2920,143,32,28,72,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
