Código,Escala_Cog.,Escala_Mot.,Escala_Dis.,Edad_Mes,Región,Modalidad,Departamento,Quintil,Inst_Mat.,Inst_Mat_N
231,93,25,21,70,Costa,Jardín,Piura,5,Secundaria completo,6
464,94,25,23,69,Selva,No_Esc,Loreto,2,Primaria incompleto,3
466,91,19,21,64,Selva,No_Esc,Loreto,2,Primaria incompleto,3
480,83,26,28,50,Selva,No_Esc,Loreto,2,Primaria completo,4
500,116,32,25,69,Selva,No_Esc,Loreto,2,Primaria incompleto,3
504,92,24,22,52,Selva,No_Esc,Loreto,2,Primaria completo,4
532,73,18,16,58,Selva,No_Esc,Loreto,2,Primaria completo,4
957,90,29,34,67,Costa,Jardín,Piura,4,Secundaria incompleto,5
978,78,19,20,53,Selva,Jardín,Loreto,3,Primaria completo,4
1039,85,28,31,69,Costa,Jardín,Piura,4,Secundaria incompleto,5
1158,53,11,17,55,Costa,Jardín,Piura,4,Ninguno,1
1180,76,24,16,68,Selva,Jardín,Loreto,5,Primaria incompleto,3
1385,62,17,17,53,Costa,Jardín,Piura,4,Primaria incompleto,3
1415,66,29,27,59,Selva,Jardín,Loreto,4,Secundaria completo,6
1457,62,23,15,64,Selva,Jardín,Cusco,3,Secundaria incompleto,5
1458,57,20,22,73,Selva,Jardín,Loreto,4,Primaria completo,4
2110,71,21,25,59,Costa,Cuna-Jardín,Piura,4,Superior universitario incompleto,9
2347,50,26,19,73,Costa,Jardín,Piura,3,Secundaria completo,6
2511,83,22,20,55,Costa,Jardín,Piura,1,Secundaria completo,6
2705,102,22,23,64,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2835,121,29,36,50,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2836,133,31,36,51,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2839,134,32,26,61,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2840,132,24,19,60,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2841,100,27,20,53,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2842,117,30,24,62,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2843,99,30,23,54,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2844,112,29,24,56,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2846,131,24,23,54,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2848,125,33,25,61,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2849,143,35,28,64,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2880,127,35,24,59,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2881,109,22,25,65,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2882,124,20,20,61,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2883,107,24,19,56,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2884,125,35,23,64,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2885,119,33,23,62,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2889,105,29,24,78,Costa,Jardín,Lima Met.,4,Secundaria completo,6
2890,92,28,22,56,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2891,138,34,30,60,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2892,132,27,29,53,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2893,107,28,29,59,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2894,103,27,30,53,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2895,146,34,31,61,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2896,108,20,28,62,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2897,124,32,32,57,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2900,114,30,28,64,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2901,82,28,29,61,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2902,133,34,32,58,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2903,135,31,31,56,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2904,99,18,27,59,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2905,144,33,31,62,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2906,119,31,30,63,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2907,119,30,31,54,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2908,129,31,31,58,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2910,121,32,24,69,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2911,152,33,28,67,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2912,90,31,21,71,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2913,128,27,25,65,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2914,134,34,23,67,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2915,100,29,25,65,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2916,149,32,27,75,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2918,130,31,28,65,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2919,117,29,18,72,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2920,143,32,28,72,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
