"Código","Región","Escala_Cog.","Escala_Mot.","Escala_Dis."
123,"Selva",65,22,22
476,"Selva",51,17,16
625,"Costa",50,13,15
809,"Selva",74,29,25
1171,"Selva",43,24,18
1722,"Costa",94,29,24
1818,"Selva",57,26,26
1826,"Selva",73,28,31
1889,"Costa",91,36,24
1916,"Selva",67,30,29
2046,"Costa",93,37,24
2499,"Costa",56,21,21
2638,"Costa",90,32,26
2644,"Costa",73,30,26
2647,"Costa",110,36,35
2656,"Costa",90,34,23
2659,"Costa",106,29,34
2662,"Costa",99,19,24
2665,"Costa",111,32,35
2666,"Costa",111,30,29
2667,"Costa",99,30,33
2668,"Costa",102,32,36
2678,"Costa",104,29,33
2680,"Costa",95,32,33
2681,"Costa",88,25,33
2698,"Costa",110,36,35
2710,"Costa",119,35,36
2717,"Costa",122,33,35
2726,"Costa",129,36,36
2732,"Costa",110,31,36
2737,"Costa",117,33,36
2768,"Costa",68,26,25
2776,"Costa",102,19,32
2779,"Costa",96,33,35
2781,"Costa",101,31,30
2782,"Costa",112,34,34
2931,"Costa",118,31,36
2932,"Costa",113,29,30
2936,"Costa",101,24,32
2937,"Costa",117,33,36
2939,"Costa",127,38,36
2941,"Costa",128,39,34
2944,"Costa",111,29,36
2949,"Costa",129,37,36
2953,"Costa",120,33,36
3016,"Costa",92,39,29
3019,"Costa",83,37,32
3021,"Costa",114,38,32
3023,"Costa",74,31,25
3024,"Costa",110,40,31
3032,"Costa",69,23,20
3033,"Costa",73,26,25
3034,"Costa",92,34,30
3037,"Costa",59,22,20
3040,"Costa",72,33,17
3041,"Costa",63,23,19
3042,"Costa",128,43,29
3043,"Costa",66,32,19
3047,"Costa",124,35,34
3048,"Costa",120,36,31
3051,"Costa",121,36,35
3052,"Costa",121,33,36
3055,"Costa",116,37,34
3058,"Costa",137,42,31
3092,"Costa",78,31,24
3116,"Costa",105,40,33
3197,"Costa",122,35,35
3228,"Costa",113,44,31
3242,"Costa",65,26,23
3247,"Costa",66,26,25
3260,"Costa",82,24,26
3273,"Costa",92,30,24
3312,"Costa",75,21,25
3313,"Costa",69,28,24
3315,"Costa",85,22,25
3316,"Costa",81,27,24
3317,"Costa",123,39,34
3318,"Costa",92,26,31
3319,"Costa",91,21,31
3320,"Costa",116,38,36
3346,"Costa",111,22,36
3347,"Costa",131,38,36
3348,"Costa",129,29,36
3349,"Costa",118,25,31
3354,"Costa",87,30,24
3355,"Costa",73,18,26
3356,"Costa",74,23,25
3357,"Costa",84,29,25
3360,"Costa",72,26,25
3363,"Costa",77,31,25
2621,"Costa",114,39,34
2626,"Costa",119,38,34
2631,"Costa",91,37,34
2639,"Costa",118,35,33
2646,"Costa",123,38,35
2653,"Costa",122,37,34
2679,"Costa",119,36,35
2682,"Costa",81,22,29
2683,"Costa",120,37,35
2684,"Costa",127,37,34
2716,"Costa",116,36,30
2723,"Costa",112,27,24
2731,"Costa",115,35,33
2739,"Costa",120,40,33
2743,"Costa",102,33,25
2751,"Costa",94,41,33
2758,"Costa",126,42,36
2791,"Costa",96,37,26
2792,"Costa",131,44,36
2793,"Costa",132,36,35
2040,"Selva",58,21,20
2041,"Selva",90,31,24
2155,"Selva",109,34,28
2156,"Selva",112,36,30
71,"Costa",34,11,20
72,"Costa",37,16,22
858,"Sierra",87,35,31
862,"Sierra",71,30,27
2488,"Costa",79,32,27
2489,"Costa",55,25,21
311,"Sierra",81,33,29
305,"Sierra",62,27,28
304,"Sierra",64,29,27
670,"Selva",84,29,31
671,"Selva",69,26,30
1257,"Sierra",77,36,25
3243,"Costa",93,39,30
3244,"Costa",109,41,31
310,"Sierra",79,34,28
865,"Sierra",79,34,27
309,"Sierra",57,25,25
866,"Sierra",57,26,25
2066,"Selva",101,31,29
2068,"Selva",99,27,27
495,"Sierra",40,15,29
1568,"Sierra",57,18,18
1504,"Selva",66,29,18
1505,"Selva",69,25,18
3248,"Costa",88,38,30
3257,"Costa",78,31,29
307,"Sierra",61,27,27
863,"Sierra",59,27,27
303,"Sierra",69,29,28
859,"Sierra",69,29,28
196,"Sierra",50,11,20
197,"Sierra",100,36,32
2468,"Costa",43,17,19
2469,"Costa",43,17,23
308,"Sierra",61,27,26
864,"Sierra",61,27,26
3267,"Costa",119,36,36
3278,"Costa",83,27,33
2227,"Sierra",103,40,32
3424,"Costa",82,24,34
2045,"Costa",25,8,6
1378,"Selva",68,25,22
2067,"Sierra",87,27,26
3000,"Costa",136,48,35
3402,"Costa",52,25,23
2864,"Costa",98,29,27
731,"Sierra",92,35,24
1982,"Sierra",67,29,28
433,"Selva",110,40,33
992,"Selva",92,32,31
1050,"Selva",70,29,29
993,"Selva",80,31,26
1047,"Selva",71,27,27
3097,"Costa",108,44,33
2568,"Selva",103,30,31
956,"Selva",88,33,29
2567,"Selva",110,30,36
3062,"Costa",126,47,34
2850,"Costa",88,27,25
178,"Sierra",41,12,16
182,"Sierra",52,23,20
2870,"Costa",95,22,27
3201,"Costa",84,22,29
2938,"Costa",103,23,25
472,"Selva",54,18,15
591,"Sierra",52,18,19
584,"Sierra",51,24,18
597,"Sierra",61,25,22
583,"Sierra",57,24,22
585,"Sierra",40,19,15
1589,"Selva",85,33,27
580,"Sierra",37,16,19
589,"Sierra",38,18,19
596,"Sierra",58,28,20
581,"Sierra",49,20,22
2033,"Selva",64,23,21
2042,"Selva",65,24,22
2036,"Selva",48,21,14
2072,"Selva",45,19,15
1978,"Selva",54,25,23
3253,"Costa",113,39,29
3156,"Costa",87,26,31
1575,"Selva",61,22,20
1890,"Costa",58,27,25
1068,"Selva",131,48,35
1067,"Selva",118,48,36
3067,"Costa",135,44,33
3044,"Costa",74,26,22
2165,"Selva",103,38,26
2154,"Selva",77,28,19
3057,"Costa",68,30,16
2163,"Selva",105,41,26
3064,"Costa",136,47,36
3056,"Costa",128,44,35
3050,"Costa",74,27,16
3059,"Costa",127,34,29
2162,"Selva",90,26,26
2153,"Selva",107,36,30
3090,"Costa",69,31,22
1723,"Costa",53,25,22
3054,"Costa",91,34,21
2168,"Selva",110,40,30
3076,"Costa",81,35,26
3045,"Costa",59,27,21
3094,"Costa",74,31,20
2157,"Selva",83,32,29
2166,"Selva",99,35,30
2167,"Selva",96,30,29
3091,"Costa",85,31,26
3049,"Costa",93,34,25
3281,"Costa",80,32,24
2136,"Sierra",43,20,18
2161,"Selva",61,20,18
3082,"Costa",68,30,20
3053,"Costa",90,34,25
2158,"Selva",73,30,21
