"Código","Cuatrimestre","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
231,"3 (Jul-Sep)",93,25,35,21
464,"3 (Jul-Sep)",94,25,53,23
466,"1 (Ene-Mar)",91,19,53,21
480,"1 (Ene-Mar)",83,26,54,28
500,"3 (Jul-Sep)",116,32,57,25
504,"1 (Ene-Mar)",92,24,55,22
532,"3 (Jul-Sep)",73,18,54,16
957,"4 (Oct-Dic)",90,29,67,34
978,"4 (Oct-Dic)",78,19,51,20
1039,"3 (Jul-Sep)",85,28,72,31
1158,"4 (Oct-Dic)",53,11,45,17
1180,"3 (Jul-Sep)",76,24,50,16
1385,"1 (Ene-Mar)",62,17,52,17
1415,"2 (Abr-Jun)",66,29,53,27
1457,"4 (Oct-Dic)",62,23,52,15
2110,"3 (Jul-Sep)",71,21,41,25
2347,"2 (Abr-Jun)",50,26,68,19
2511,"4 (Oct-Dic)",83,22,46,20
2705,"2 (Abr-Jun)",102,22,63,23
2835,"2 (Abr-Jun)",121,29,64,36
2836,"2 (Abr-Jun)",133,31,73,36
2839,"3 (Jul-Sep)",134,32,65,26
2840,"3 (Jul-Sep)",132,24,50,19
2841,"1 (Ene-Mar)",100,27,57,20
2842,"2 (Abr-Jun)",117,30,61,24
2843,"1 (Ene-Mar)",99,30,61,23
2844,"4 (Oct-Dic)",112,29,64,24
2846,"1 (Ene-Mar)",131,24,60,23
2848,"3 (Jul-Sep)",125,33,51,25
2849,"2 (Abr-Jun)",143,35,75,28
2880,"3 (Jul-Sep)",127,35,56,24
2881,"1 (Ene-Mar)",109,22,62,25
2882,"3 (Jul-Sep)",124,20,47,20
2883,"4 (Oct-Dic)",107,24,55,19
2884,"2 (Abr-Jun)",125,35,62,23
2885,"2 (Abr-Jun)",119,33,62,23
2889,"1 (Ene-Mar)",105,29,58,24
2890,"4 (Oct-Dic)",92,28,58,22
2891,"3 (Jul-Sep)",138,34,59,30
2892,"1 (Ene-Mar)",132,27,70,29
2893,"3 (Jul-Sep)",107,28,74,29
2894,"1 (Ene-Mar)",103,27,72,30
2895,"3 (Jul-Sep)",146,34,74,31
2896,"2 (Abr-Jun)",108,20,62,28
2897,"4 (Oct-Dic)",124,32,64,32
2900,"2 (Abr-Jun)",114,30,66,28
2901,"3 (Jul-Sep)",82,28,53,29
2902,"4 (Oct-Dic)",133,34,76,32
2903,"4 (Oct-Dic)",135,31,68,31
2904,"3 (Jul-Sep)",99,18,62,27
2905,"2 (Abr-Jun)",144,33,73,31
2906,"2 (Abr-Jun)",119,31,65,30
2907,"1 (Ene-Mar)",119,30,66,31
2908,"4 (Oct-Dic)",129,31,75,31
2910,"4 (Oct-Dic)",121,32,73,24
2911,"1 (Ene-Mar)",152,33,76,28
2912,"3 (Jul-Sep)",90,31,72,21
2913,"1 (Ene-Mar)",128,27,76,25
2914,"1 (Ene-Mar)",134,34,43,23
2915,"1 (Ene-Mar)",100,29,70,25
2916,"2 (Abr-Jun)",149,32,71,27
2918,"1 (Ene-Mar)",130,31,64,28
2919,"3 (Jul-Sep)",117,29,58,18
2920,"3 (Jul-Sep)",143,32,63,28
2921,"2 (Abr-Jun)",132,28,46,27
2922,"4 (Oct-Dic)",110,21,51,22
2923,"3 (Jul-Sep)",133,28,46,20
2924,"4 (Oct-Dic)",141,32,54,20
2925,"2 (Abr-Jun)",144,31,67,27
2926,"3 (Jul-Sep)",108,28,57,17
2927,"3 (Jul-Sep)",147,30,51,24
2928,"4 (Oct-Dic)",121,31,65,29
2935,"3 (Jul-Sep)",128,30,74,36
2940,"2 (Abr-Jun)",155,33,77,30
2943,"2 (Abr-Jun)",136,28,57,22
2946,"2 (Abr-Jun)",137,33,57,21
2948,"4 (Oct-Dic)",79,26,44,17
2950,"4 (Oct-Dic)",135,29,48,20
2952,"4 (Oct-Dic)",118,30,40,18
2955,"1 (Ene-Mar)",115,26,40,15
2957,"4 (Oct-Dic)",93,23,46,17
2958,"1 (Ene-Mar)",128,23,46,19
2960,"1 (Ene-Mar)",129,26,68,29
2961,"4 (Oct-Dic)",104,30,55,17
2963,"1 (Ene-Mar)",58,17,50,20
2964,"1 (Ene-Mar)",126,30,59,28
2965,"4 (Oct-Dic)",85,28,49,24
2966,"2 (Abr-Jun)",110,15,46,23
2967,"3 (Jul-Sep)",134,32,53,19
2969,"1 (Ene-Mar)",130,32,66,26
2972,"4 (Oct-Dic)",143,33,57,24
2973,"1 (Ene-Mar)",145,31,66,30
2974,"2 (Abr-Jun)",142,33,68,29
2975,"3 (Jul-Sep)",99,27,57,23
2976,"4 (Oct-Dic)",145,32,75,31
2977,"1 (Ene-Mar)",121,31,62,26
2978,"1 (Ene-Mar)",125,27,54,20
2979,"3 (Jul-Sep)",154,35,76,30
2980,"2 (Abr-Jun)",88,32,70,23
2981,"3 (Jul-Sep)",115,30,69,25
2982,"1 (Ene-Mar)",144,32,60,21
2983,"1 (Ene-Mar)",116,32,58,25
2984,"4 (Oct-Dic)",112,29,38,19
2985,"3 (Jul-Sep)",109,28,36,20
2986,"2 (Abr-Jun)",125,30,54,23
2987,"2 (Abr-Jun)",93,34,76,30
2988,"1 (Ene-Mar)",85,19,51,18
2989,"2 (Abr-Jun)",85,20,34,17
2990,"3 (Jul-Sep)",155,36,73,31
2991,"2 (Abr-Jun)",152,36,72,31
3185,"2 (Abr-Jun)",129,28,72,36
3208,"4 (Oct-Dic)",93,30,68,24
3209,"2 (Abr-Jun)",120,31,61,25
3241,"2 (Abr-Jun)",103,30,62,26
3298,"1 (Ene-Mar)",145,31,57,28
3306,"1 (Ene-Mar)",96,24,46,24
3308,"2 (Abr-Jun)",132,29,69,34
3336,"2 (Abr-Jun)",156,35,72,30
3343,"1 (Ene-Mar)",79,15,45,22
3388,"4 (Oct-Dic)",102,32,70,33
3409,"2 (Abr-Jun)",109,30,59,24
3436,"2 (Abr-Jun)",125,32,69,29
3454,"2 (Abr-Jun)",92,30,66,24
3461,"3 (Jul-Sep)",73,29,66,24
3519,"3 (Jul-Sep)",143,32,77,30
2620,"1 (Ene-Mar)",87,24,53,24
2627,"3 (Jul-Sep)",134,33,71,33
2630,"3 (Jul-Sep)",126,30,69,33
2633,"4 (Oct-Dic)",130,32,66,31
2637,"1 (Ene-Mar)",113,28,63,26
